"Title","Questions Name","Questions Type","Answers"
"Poll Vaccine",,,
,"If you had received an injection as part of a COVID 19 vaccine clinical trial, which of the following activities would you do","multiple",
,,,"wear mask outside"
,,,"visit w/ friend inside"
,,,"eat indoors at restaurant"
,,,"go to a bar"
,"If you had received an injection as part of the BC COVID 19 vaccine roll out which of the following activities would you do","multiple",
,,,"wear mask outside"
,,,"visit w/ friend inside"
,,,"eat indoors at restaurant"
,,,"go to a bar"
